sku,name,selling_price,standard_cost,unit_of_measure,category,opening_quantity
SL-001,Moong Dal,8.000,7.300,bag,Pulses,0
SL-002,Masoor Dal,5.500,4.650,bag,Pulses,0
SL-003,Chana Dal,6.200,5.500,bag,Pulses,0
SL-004,180ml Juice Alkhalij,2.000,1.650,box,Beverages,0
SL-005,1 Ltr Drinks Alkhalij,1.900,1.850,Ctn,Beverages,0
SL-006,Tea Milk Mudish,12.600,12.100,Ctn,Tea,0
SL-007,Tea Milk Doha,12.000,11.500,Ctn,Tea,0
SL-008,Red Bull,14.500,12.800,Ctn,Energy Drinks,0
SL-009,Code Red,9.000,8.800,Ctn,Beverages,0
SL-010,Boom Boom,7.600,6.800,Ctn,Beverages,0
SL-011,Indomie Noodles Cup,5.700,5.200,Ctn,Noodles,0
SL-012,Indomie Noodles,4.300,3.900,Ctn,Noodles,0
SL-013,Chilli Powder 25kg,23.000,20.000,bag,Spices,0
SL-014,Holdi Powder 25kg,23.000,20.000,bag,Spices,0
SL-015,XXXL Basmati Rice,18.000,15.400,bag,Rice,0
SL-016,SPADA,4.800,4.400,bag,Rice,0
SL-017,JOO Fruit Juice,1.600,1.200,Ctn,Juice,0
SL-018,Jira CAN Drink,4.800,4.800,Ctn,Beverages,0
SL-019,Black Chana,5.500,4.900,bag,Pulses,0
SL-020,Sona Masoori Rice 18kg,4.500,3.900,bag,Rice,0
SL-021,Sultana Oil 1.5ltr,5.200,4.500,Ctn,Oil,0
SL-022,Tin Oil 17 Ltr NOOF,8.200,7.900,Tin,Oil,0
SL-023,Nuts Items,1.500,1.350,Pack,Snacks,0
SL-024,AL Waha Oil 1.5 Ltr,5.200,4.800,Ctn,Oil,0
SL-025,Rice 35kg,10.300,8.900,bag,Rice,0
SL-026,Coconut Water 330ml,5.300,4.500,Ctn,Beverages,0
SL-027,777 Rice 18kg,4.500,4.000,Ctn,Rice,0
SL-028,Vermicelli 48x150gm,5.500,4.900,Ctn,Food,0
SL-030,Double Dare Drink 275ml,3.500,3.050,Ctn,Beverages,0
SL-031,Tiffany Cream Biscuits,1.700,1.380,Ctn,Biscuits,0
SL-032,Kinza 350/250,4.400,4.000,Ctn,Beverages,0
SL-033,Kinza Anar,4.000,3.400,Ctn,Beverages,0
SL-034,Shani 1 Ltr,4.300,4.000,Ctn,Beverages,0
